"Order ID","PROUDCT NAME","UPC","RETURN REASON","RETURN DATE","CURRENT STATUS","UNIT","PO#","PO Line#","RMA#","RETURN ORDER LINE#","FAULT","CURRENT_TRACKING_STATUS","DELIVERED_DATE","RECEIVED_SCAN_DATE","DISPOSITION","ITEM_CONDITION"
"200010546974087","Restored Apple iPad Air 2, 9.7in, Wi-Fi, 16GB, Space Gray (MGL12LL/A) (Refurbished)","783629334304","Incorrect item","2023-02-06T04:03:05Z","DELIVERED_AT_RC_POST_INVOICE","1","108731726972535","5","155924074393847630","1","SELLER","deliveredToRC","2023-02-13T12:24:19.000+0000","NA","NA","NA"
"200010790042196","Restored Apple Watch Gen 7 Series 7 Cell 45mm Midnight Aluminum - Midnight Sport Band MKJ73LL/A (Refurbished)","195925258350","Lost","2023-02-06T03:21:53Z","RETURN_INVOICED","1","108803111007114","1","151090714543160635","1","WFS","initiated","NA","NA","NA","NA"
"200010667354687","Restored Apple Watch Series 3 - 42mm Space Gray Aluminum Case - Gray Sport Band (Refurbished)","190403172623","Defective","2023-02-06T03:09:08Z","RETURN_CANCELLED","1","108733614641527","1","155924613990794867","1"," ","initiated","NA","NA","NA","NA"
"200010842736845","Restored Apple iPhone 12 Pro 128GB Fully Unlocked Pacific Blue (Refurbished)","789277107482","Defective","2023-02-06T01:42:39Z","RETURN_INVOICED","1","108803520656364","1","152462727906741206","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-14T16:23:57.176+0000","RTV","SELLABLE"
"200010696861656","Restored Apple Watch Series 5 44mm GPS Cellular LTE Aluminum Silver White Sport Band (Refurbished)","782860306484","Lost","2023-02-06T01:27:16Z","RETURN_INVOICED","1","108802792807707","1","152120073487033830","1","WFS","initiated","NA","NA","NA","NA"
"200010786437212","Samsung Galaxy S22 Ultra 256GB Factory Unlocked (Phantom White) Smartphone","702338536120","Defective","2023-02-06T00:51:12Z","RETURN_INVOICED","1","108803623259865","1","151803460337896219","1","SELLER","deliveredToRC","2023-02-15T11:05:00.000+0000","2023-02-17T19:56:40.155+0000","RTV","UNSELLABLE"
"200010670526284","Apple iPhone 11 64GB Black Fully Unlocked B Grade Used Smartphone","689518377622","Defective","2023-02-06T00:41:25Z","RETURN_CANCELLED","1","108802586476110","1","157504857571678666","1","SELLER","initiated","NA","NA","NA","NA"
"200010730141974","Apple iPhone XR 64GB Black Fully Unlocked B Grade Used Smartphone","689518382824","Damaged","2023-02-06T00:35:46Z","RETURN_INVOICED","1","108802587627079","1","159857558106093942","1","WFS","initiated","NA","2023-02-14T19:27:27.226+0000","DISPOSE","UNSELLABLE"
"200010669792765","Restored Apple Watch Series 4 GPS + LTE - 44mm - Sport Band - Aluminum Case (Refurbished)","190403914728","Defective","2023-02-05T23:57:33Z","DELIVERED_AT_RC_POST_INVOICE","1","108800741695251","1","157632825486622148","1","SELLER","deliveredToRC","2023-02-09T11:03:00.000+0000","2023-02-15T06:16:42.418+0000","RTV","UNSELLABLE"
"200010708485619","Restored Apple Watch Series 4 (GPS) 44mm Space Gray Aluminum Case with Black Sport Band (Refurbished)","400063040126","Defective","2023-02-05T23:16:39Z","DELIVERED_AT_RC_POST_INVOICE","1","108803418120842","1","151803096173763900","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-14T07:37:43.150+0000","RTV","UNSELLABLE"
